SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,address
BUKIT BATOK SECONDARY SCHOOL,50,BUKIT BATOK WEST AVENUE 8,BUKIT BATOK SECONDARY SCHOOL,50 BUKIT BATOK WEST AVENUE 8 BUKIT BATOK SECONDARY SCHOOL SINGAPORE 658962,658962,17711.9101901269,36735.00712738,1.34849111079052,103.74087370482,50   BUKIT BATOK WEST AVE 8
BUKIT MERAH SECONDARY SCHOOL,10,LENGKOK BAHRU,BUKIT MERAH SECONDARY SCHOOL,10 LENGKOK BAHRU BUKIT MERAH SECONDARY SCHOOL SINGAPORE 159050,159050,25787.5608570725,29790.9091712814,1.28569283064288,103.813438929393,10   LENGKOK BAHRU
BUKIT PANJANG GOVERNMENT HIGH SCHOOL,7,CHOA CHU KANG AVENUE 4,BUKIT PANJANG GOVERNMENT HIGH SCHOOL,7 CHOA CHU KANG AVENUE 4 BUKIT PANJANG GOVERNMENT HIGH SCHOOL SINGAPORE 689809,689809,17432.4458359294,40467.0724023171,1.38224243360043,103.738361221869,7    CHOA CHU KANG AVE 4
ACE @ WORK ENRICHMENT PTE LTD (BT PANJANG PRIMARY),109,CASHEW ROAD,ACE @ WORK ENRICHMENT PTE LTD (BT PANJANG PRIMARY),109 CASHEW ROAD ACE @ WORK ENRICHMENT PTE LTD (BT PANJANG PRIMARY) SINGAPORE 679676,679676,20888.5750349946,39500.3618246447,1.37350089986584,103.769417337654,109  CASHEW ROAD
BUKIT PANJANG PRIMARY SCHOOL,109,CASHEW ROAD,BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676,679676,20883.8530479269,39513.7297099214,1.37362179302436,103.769374904025,109  CASHEW ROAD
AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS AFTERSCHOOL @ BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112,598112,20603.3479896449,35547.1996132508,1.3377498622588,103.766855344779,111  Lorong Kismis
BUKIT TIMAH PRIMARY SCHOOL,111,LORONG KISMIS,BUKIT TIMAH PRIMARY SCHOOL,111 LORONG KISMIS BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112,598112,20600.383664391,35497.4072666373,1.3372995575169,103.766828720721,111  Lorong Kismis
BUKIT VIEW PRIMARY SCHOOL,18,BUKIT BATOK STREET 21,BUKIT VIEW PRIMARY SCHOOL,18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634,659634,19135.5884738322,36444.0823157039,1.34586054788695,103.75366641455,18   BUKIT BATOK STREET 21
MCYC SCC @ BVPS,18,BUKIT BATOK STREET 21,MCYC SCC @ BVPS,18 BUKIT BATOK STREET 21 MCYC SCC @ BVPS SINGAPORE 659634,659634,19095.2098939065,36487.6660026927,1.34625469092492,103.753303575677,18   BUKIT BATOK STREET 21
BUKIT VIEW SECONDARY SCHOOL,16,BUKIT BATOK STREET 21,BUKIT VIEW SECONDARY SCHOOL,16 BUKIT BATOK STREET 21 BUKIT VIEW SECONDARY SCHOOL SINGAPORE 659633,659633,18975.3516749162,36429.990117576,1.3457330554294,103.752226593984,16   BUKIT BATOK STREET 21
CANBERRA PRIMARY SCHOOL,21,ADMIRALTY DRIVE,CANBERRA PRIMARY SCHOOL,21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714,757714,26057.0121687725,48097.4040875677,1.45125024371543,103.815858858929,21   ADMIRALTY DRIVE
SINGAPORE EDUSMART LEARNING HUB (CANBERRA PRIMARY),21,ADMIRALTY DRIVE,SINGAPORE EDUSMART LEARNING HUB (CANBERRA PRIMARY),21 ADMIRALTY DRIVE SINGAPORE EDUSMART LEARNING HUB (CANBERRA PRIMARY) SINGAPORE 757714,757714,26060.4123529922,48095.4844920393,1.45123288382933,103.81588941317,21   ADMIRALTY DRIVE
CANBERRA SECONDARY SCHOOL,51,SEMBAWANG DRIVE,CANBERRA SECONDARY SCHOOL,51 SEMBAWANG DRIVE CANBERRA SECONDARY SCHOOL SINGAPORE 757699,757699,25872.8083025776,48311.9895634912,1.45319086315972,103.814203583818,51   SEMBAWANG DRIVE
CANOSSA CATHOLIC PRIMARY SCHOOL,1,SALLIM ROAD,CANOSSA CATHOLIC PRIMARY SCHOOL,1 SALLIM ROAD CANOSSA CATHOLIC PRIMARY SCHOOL SINGAPORE 387621,387621,33443.1189393327,34319.1509661097,1.32664424544839,103.882227964852,1    Sallim Road
CANOSSA CONVENT,1,SALLIM ROAD,CANOSSA CONVENT,1 SALLIM ROAD CANOSSA CONVENT SINGAPORE 387621,387621,33367.3513052557,34342.5272931494,1.32685566604543,103.881547155683,1    Sallim Road
CANOSSAVILLE CHILDREN'S HOME,1,SALLIM ROAD,CANOSSAVILLE CHILDREN'S HOME,1 SALLIM ROAD CANOSSAVILLE CHILDREN'S HOME SINGAPORE 387621,387621,33516.7677842807,34281.6894025784,1.32630544320425,103.882889732898,1    Sallim Road
CANOSSIAN SCHOOL,1,SALLIM ROAD,CANOSSIAN SCHOOL,1 SALLIM ROAD CANOSSIAN SCHOOL SINGAPORE 387621,387621,33312.124342165,34342.8723481651,1.32685879628177,103.881050911498,1    Sallim Road
MAGDALENE'S KINDERGARTEN,1,SALLIM ROAD,MAGDALENE'S KINDERGARTEN,1 SALLIM ROAD MAGDALENE'S KINDERGARTEN SINGAPORE 387621,387621,33306.6919957874,34342.288811706,1.32685351993336,103.881002098815,1    Sallim Road
